bloque,tecnica,fase,entrada,parametros,producto,metrica,decision_esperada,archivo_codigo,figura_o_tabla,estado
Representacion y digitalizacion,Inspeccion de formato y metadatos,1,imagen_raw,ninguno,tabla_metadatos,dimensiones_bits_canales_por_imagen,documentar_sin_descarte,src/psim/io.py,results/fase1/caracterizacion.csv,planeado
Representacion y digitalizacion,Verificacion de resolucion espacial y muestreo,1,tabla_metadatos,ninguno,tabla_resolucion,dispersion_de_dimensiones_por_origen,documentar_y_definir_tamano_de_trabajo_comun,src/psim/io.py,results/fase1/caracterizacion.csv,planeado
Representacion y digitalizacion,Analisis de cuantizacion y resolucion de intensidad,1,imagen_gris,ninguno,tabla_rango_intensidad,numero_de_niveles_ocupados_y_rango_efectivo,documentar_diferencia_12_vs_8_bits,src/psim/io.py,figures/fase1/rango_intensidad.png,planeado
Representacion y digitalizacion,Submuestreo controlado,1,imagen_gris,factor_de_submuestreo,serie_de_imagenes_reducidas,error_relativo_de_descriptores_vs_resolucion_plena,elegir_resolucion_de_trabajo_que_no_altere_descriptores,src/psim/io.py,figures/fase1/submuestreo.png,planeado
Representacion y digitalizacion,Requantizacion controlada,1,imagen_gris_12bit,numero_de_bits,serie_de_imagenes_requantizadas,error_relativo_de_descriptores_vs_12_bits,cuantificar_perdida_al_igualar_Montgomery_a_8_bits,src/psim/io.py,figures/fase1/requantizacion.png,planeado
Representacion y digitalizacion,Correccion de escala invertida Shenzhen,1,imagen_raw_shenzhen,criterio_de_deteccion_de_inversion,imagen_corregida,concordancia_de_moda_de_fondo_entre_origenes,corregir_si_se_detecta_inversion,src/psim/io.py,figures/fase1/correccion_inversion.png,planeado
Representacion y digitalizacion,Vecindad adyacencia y conectividad,1,mascara_referencia,tipo_de_conectividad_4_u_8,mapa_de_componentes,numero_de_componentes_por_tipo_de_conectividad,fijar_conectividad_usada_en_todo_el_proyecto,src/psim/geometry.py,figures/fase1/conectividad.png,planeado
Representacion y digitalizacion,Etiquetado de regiones conexas,1,mascara_referencia,conectividad,etiquetas_de_region,area_de_cada_componente,verificar_que_la_referencia_tiene_dos_campos_pulmonares,src/psim/geometry.py,results/fase1/caracterizacion.csv,planeado
Representacion y digitalizacion,Transformada de distancia y extraccion de borde,1,mascara_referencia,metrica_de_distancia,mapa_de_distancia_y_contorno,longitud_de_contorno_y_distancia_maxima_al_borde,usar_como_base_del_calculo_de_perimetro_y_compacidad,src/psim/geometry.py,figures/fase1/distancia_borde.png,planeado
Espacios e intensidad,Verificacion de canales RGB y conversion a gris,1,imagen_rgb_shenzhen,pesos_de_luminancia,imagen_gris,diferencia_maxima_entre_canales,usar_un_solo_canal_si_los_tres_son_identicos,src/psim/color.py,results/fase1/caracterizacion.csv,planeado
Espacios e intensidad,Exploracion del espacio HSV,1,imagen_rgb_shenzhen,ninguno,canales_h_s_v,saturacion_media_y_varianza_del_matiz,descartar_si_la_saturacion_es_nula_y_documentar_por_que,src/psim/color.py,figures/fase1/hsv_exploracion.png,planeado
Espacios e intensidad,Operaciones aritmeticas entre imagenes,2,imagen_gris_y_imagen_filtrada,ninguno,imagen_diferencia_y_producto,energia_de_la_diferencia,usar_como_visualizacion_del_efecto_de_cada_filtro,src/psim/color.py,figures/fase2/mapas_diferencia.png,planeado
Espacios e intensidad,Normalizacion de rango dinamico,1,imagen_gris,percentiles_de_recorte,imagen_normalizada,fraccion_de_pixeles_saturados_y_contraste_rms,conservar_el_percentil_que_no_sature_mas_del_umbral_fijado,src/psim/color.py,figures/fase1/histogramas.png,planeado
Espacios e intensidad,Transformaciones puntuales de intensidad,2,imagen_normalizada,gamma_o_base_logaritmica,imagen_transformada,contraste_rms_y_separacion_pulmon_fondo,conservar_si_separa_modos_del_histograma_mejor_que_la_lineal,src/psim/color.py,figures/fase2/transformaciones_intensidad.png,planeado
Operaciones de vecindad,Filtro de media,2,imagen_normalizada,tamano_de_kernel,imagen_filtrada,desviacion_del_fondo_y_conservacion_de_borde,descartar_si_degrada_el_borde_mas_que_la_mediana,src/psim/spatial.py,figures/fase2/filtros_comparacion.png,planeado
Operaciones de vecindad,Filtro de mediana,2,imagen_normalizada,tamano_de_kernel,imagen_filtrada,desviacion_del_fondo_y_conservacion_de_borde,conservar_si_reduce_ruido_sin_degradar_borde,src/psim/spatial.py,figures/fase2/median_comparison.png,planeado
Operaciones de vecindad,Filtro gaussiano,2,imagen_normalizada,sigma,imagen_filtrada,desviacion_del_fondo_y_conservacion_de_borde,comparar_contra_media_y_mediana_y_conservar_el_mejor,src/psim/spatial.py,figures/fase2/filtros_comparacion.png,planeado
Operaciones de vecindad,Operador Sobel,2,imagen_filtrada,tamano_de_kernel,magnitud_de_gradiente,concordancia_del_borde_detectado_con_el_borde_de_referencia,comparar_contra_Prewitt_Roberts_y_Laplaciano,src/psim/spatial.py,figures/fase2/bordes_comparacion.png,planeado
Operaciones de vecindad,Operador Prewitt,2,imagen_filtrada,ninguno,magnitud_de_gradiente,concordancia_del_borde_detectado_con_el_borde_de_referencia,descartar_si_no_supera_a_Sobel,src/psim/spatial.py,figures/fase2/bordes_comparacion.png,planeado
Operaciones de vecindad,Operador Roberts,2,imagen_filtrada,ninguno,magnitud_de_gradiente,concordancia_del_borde_detectado_con_el_borde_de_referencia,descartar_si_resulta_mas_sensible_al_ruido,src/psim/spatial.py,figures/fase2/bordes_comparacion.png,planeado
Operaciones de vecindad,Operador Laplaciano,2,imagen_filtrada,tamano_de_kernel,respuesta_de_segunda_derivada,concordancia_del_borde_detectado_con_el_borde_de_referencia,usar_solo_si_aporta_borde_cerrado_util_a_la_segmentacion,src/psim/spatial.py,figures/fase2/bordes_comparacion.png,planeado
Operaciones de vecindad,Realce por unsharp masking,2,imagen_filtrada,radio_y_cantidad,imagen_realzada,conservacion_de_borde_y_desviacion_del_fondo,conservar_si_define_el_borde_sin_amplificar_ruido,src/psim/spatial.py,figures/fase2/realce_comparacion.png,planeado
Operaciones de vecindad,Operador direccional emboss,2,imagen_filtrada,direccion_del_kernel,imagen_con_relieve,varianza_direccional_de_la_respuesta,experimento_controlado_no_se_espera_conservar_en_el_pipeline,src/psim/spatial.py,figures/fase2/emboss.png,planeado
Histogramas,Histograma de intensidad y funcion de distribucion acumulada,1,imagen_gris,numero_de_bins,histograma_y_cdf,media_desviacion_asimetria_y_forma_de_la_cdf,documentar_sin_descarte,src/psim/histogram.py,figures/fase1/histogramas.png,planeado
Histogramas,Comparacion de distribuciones entre origenes,1,conjunto_completo,numero_de_bins,histogramas_superpuestos,distancia_de_Bhattacharyya_entre_origenes,justificar_la_necesidad_de_normalizar_entre_sitios,src/psim/histogram.py,figures/fase1/histogramas_comparados.png,planeado
Histogramas,Ecualizacion global de histograma,2,imagen_normalizada,ninguno,imagen_ecualizada,contraste_rms_y_desviacion_del_fondo,comparar_contra_la_linea_base_sin_realce,src/psim/histogram.py,figures/fase2/realce_comparacion.png,planeado
Histogramas,Ecualizacion adaptativa limitada por contraste,2,imagen_normalizada,tamano_de_bloque_y_limite_de_recorte,imagen_ecualizada_localmente,contraste_rms_y_desviacion_del_fondo,conservar_si_mejora_contraste_sin_amplificar_ruido_de_fondo,src/psim/histogram.py,figures/fase2/realce_comparacion.png,planeado
Histogramas,Especificacion de histograma entre origenes,2,imagen_shenzhen_y_referencia_montgomery,imagen_de_referencia,imagen_igualada,distancia_de_Bhattacharyya_despues_del_ajuste,conservar_si_reduce_la_brecha_entre_sitios,src/psim/histogram.py,figures/fase2/histogram_matching.png,planeado
Umbralizacion y morfologia,Umbral global fijo,2,imagen_realzada,valor_de_umbral,mascara_binaria,dice_y_jaccard_contra_referencia,linea_base_de_comparacion_para_los_demas_umbrales,src/psim/segmentation.py,results/fase2/dice_por_estrategia.csv,planeado
Umbralizacion y morfologia,Umbral de Otsu,2,imagen_realzada,ninguno,mascara_binaria,dice_y_jaccard_contra_referencia,comparar_contra_umbral_fijo_y_adaptativo,src/psim/segmentation.py,figures/fase2/mascaras.png,planeado
Umbralizacion y morfologia,Umbral adaptativo local,2,imagen_realzada,tamano_de_ventana_y_desplazamiento,mascara_binaria,dice_y_jaccard_contra_referencia,conservar_si_supera_a_Otsu_en_dice_mediano_en_ambos_origenes,src/psim/segmentation.py,figures/fase2/mascaras.png,planeado
Umbralizacion y morfologia,Erosion,2,mascara_binaria,elemento_estructurante,mascara_erosionada,cambio_de_area_y_dice,evaluar_por_separado_antes_de_componer_apertura,src/psim/segmentation.py,figures/fase2/morfologia_pasos.png,planeado
Umbralizacion y morfologia,Dilatacion,2,mascara_binaria,elemento_estructurante,mascara_dilatada,cambio_de_area_y_dice,evaluar_por_separado_antes_de_componer_cierre,src/psim/segmentation.py,figures/fase2/morfologia_pasos.png,planeado
Umbralizacion y morfologia,Apertura morfologica,2,mascara_binaria,tamano_del_elemento_estructurante,mascara_refinada,dice_y_jaccard_contra_referencia,conservar_si_elimina_ruido_sin_perder_area_pulmonar,src/psim/segmentation.py,figures/fase2/mascaras.png,planeado
Umbralizacion y morfologia,Cierre morfologico,2,mascara_refinada,tamano_del_elemento_estructurante,mascara_refinada,dice_y_jaccard_contra_referencia,conservar_si_cierra_huecos_del_hilio_sin_invadir_mediastino,src/psim/segmentation.py,figures/fase2/mascaras.png,planeado
Umbralizacion y morfologia,Transformacion top-hat,2,imagen_realzada,tamano_del_elemento_estructurante,imagen_de_detalles_claros,contraste_local_de_estructuras_claras,experimento_para_realce_de_costillas_no_se_espera_en_el_pipeline,src/psim/segmentation.py,figures/fase2/tophat_blackhat.png,planeado
Umbralizacion y morfologia,Transformacion black-hat,2,imagen_realzada,tamano_del_elemento_estructurante,imagen_de_detalles_oscuros,contraste_local_de_estructuras_oscuras,evaluar_si_realza_el_campo_pulmonar_antes_de_umbralizar,src/psim/segmentation.py,figures/fase2/tophat_blackhat.png,planeado
Umbralizacion y morfologia,Relleno de huecos y seleccion de componentes mayores,2,mascara_refinada,numero_de_componentes_a_conservar,mascara_final,dice_y_jaccard_contra_referencia,conservar_como_paso_estandar_de_limpieza,src/psim/segmentation.py,results/fase2/dice_por_estrategia.csv,planeado
Dominio de frecuencia,Transformada de Fourier 2D y espectro de magnitud,2,imagen_gris,ninguno,espectro_de_magnitud,energia_por_banda_radial,documentar_diferencias_espectrales_entre_origenes,src/psim/frequency.py,figures/fase2/espectros.png,planeado
Dominio de frecuencia,Filtro pasa-bajas gaussiano,2,espectro,frecuencia_de_corte,imagen_reconstruida,desviacion_del_fondo_y_conservacion_de_borde,comparar_contra_Butterworth_y_contra_el_filtro_espacial,src/psim/frequency.py,figures/fase2/pasabajas_comparacion.png,planeado
Dominio de frecuencia,Filtro pasa-bajas Butterworth,2,espectro,frecuencia_de_corte_y_orden,imagen_reconstruida,desviacion_del_fondo_y_conservacion_de_borde,conservar_el_que_reduzca_ruido_con_menor_perdida_de_borde,src/psim/frequency.py,figures/fase2/pasabajas_comparacion.png,planeado
Dominio de frecuencia,Filtro pasa-altas,2,espectro,frecuencia_de_corte,imagen_reconstruida,conservacion_de_borde,evaluar_como_alternativa_al_unsharp_masking,src/psim/frequency.py,figures/fase2/pasaaltas.png,planeado
Dominio de frecuencia,Filtro pasa-banda,2,espectro,frecuencias_de_corte_inferior_y_superior,imagen_reconstruida,energia_retenida_en_la_banda_del_borde_pulmonar,experimento_para_aislar_la_escala_del_contorno,src/psim/frequency.py,figures/fase2/pasabanda.png,planeado
Wavelets y multirresolucion,Transformada wavelet continua sobre perfil 1D,2,perfil_horizontal_a_la_altura_del_hilio,familia_wavelet_y_escalas,escalograma,escala_de_energia_maxima_en_la_transicion_pulmon_mediastino,identificar_la_escala_caracteristica_del_borde,src/psim/wavelets.py,figures/fase2/cwt_perfil.png,planeado
Wavelets y multirresolucion,Descomposicion wavelet discreta 2D,3,imagen_gris_recortada_al_campo_pulmonar,familia_wavelet_y_nivel,coeficientes_de_aproximacion_y_detalle,energia_por_subbanda,usar_como_descriptor_de_textura_complementario,src/psim/wavelets.py,results/fase3/tabla_caracteristicas.csv,planeado
Wavelets y multirresolucion,Reconstruccion inversa por niveles,3,coeficientes_de_subbanda,nivel_de_truncamiento,imagen_reconstruida,error_cuadratico_medio_frente_a_la_original,verificar_que_la_descomposicion_no_pierde_informacion_relevante,src/psim/wavelets.py,figures/fase3/reconstruccion_dwt.png,planeado
Wavelets y multirresolucion,Comparacion de energia por subbanda entre origenes,3,tabla_de_energia_por_subbanda,ninguno,tabla_comparativa,diferencia_de_energia_entre_Montgomery_y_Shenzhen,documentar_si_la_textura_separa_los_dos_sitios,src/psim/wavelets.py,figures/fase3/energia_wavelets.png,planeado
Caracteristicas y estadistica,Estadistica descriptiva de intensidad por region,3,imagen_gris_y_mascara_final,ninguno,tabla_de_estadisticos,media_varianza_y_percentiles_dentro_del_campo_pulmonar,alimentar_la_tabla_de_caracteristicas_final,src/psim/features.py,results/fase3/tabla_caracteristicas.csv,planeado
Caracteristicas y estadistica,Extraccion de descriptores morfologicos,3,mascara_final_y_mascara_referencia,ninguno,tabla_de_descriptores,compacidad_relacion_de_aspecto_fraccion_de_area_y_simetria,identificar_el_descriptor_mas_estable,src/psim/features.py,results/fase3/tabla_caracteristicas.csv,planeado
Caracteristicas y estadistica,Calculo del error relativo frente a la referencia,3,tabla_de_descriptores,ninguno,tabla_de_error,error_relativo_mediano_e_intervalo_intercuartilico,seleccionar_la_combinacion_con_menor_error_en_ambos_origenes,src/psim/features.py,figures/fase3/error_descriptores.png,planeado
Caracteristicas y estadistica,Estimacion de la distribucion de los descriptores,3,tabla_de_descriptores,ninguno,densidades_estimadas,forma_y_dispersion_por_origen_y_por_clase,verificar_supuestos_antes_de_la_prueba_de_hipotesis,src/psim/stats.py,figures/fase3/distribuciones.png,planeado
Caracteristicas y estadistica,Prueba de hipotesis entre grupos,3,tabla_de_descriptores,nivel_de_significancia,resultado_de_la_prueba,valor_p_tamano_de_efecto_e_intervalo_de_confianza,reportar_como_caracterizacion_morfometrica_nunca_como_deteccion,src/psim/stats.py,results/fase3/analisis_estadistico.csv,planeado
Modelo estadistico opcional,Regresion logistica sobre descriptores explicitos,3,tabla_de_descriptores,ninguno,coeficientes_del_modelo,significancia_de_coeficientes_y_pseudo_r_cuadrado,no_planeado_la_pregunta_es_descriptiva_y_no_predictiva_se_documenta_la_decision,src/psim/stats.py,results/fase3/analisis_estadistico.csv,no_planeado
